Day,January,February,March,April,May,June,July,August,September,October,November,December
1,362,347,170,218,256,322,76,71,121,186,424,368
2,404,319,225,226,218,202,95,84,110,181,376,352
3,387,321,178,245,227,240,76,122,119,128,450,370
4,378,152,199,262,269,227,113,112,115,150,447,407
5,397,224,115,233,146,215,161,72,102,211,381,347
6,258,285,162,248,273,195,104,98,119,79,339,353
7,182,250,237,264,206,280,100,118,133,55,354,304
8,91,270,283,242,205,346,94,84,136,56,372,281
9,69,227,162,261,171,223,110,112,141,48,260,314
10,151,172,150,244,160,303,71,102,110,44,295,360
11,224,184,164,258,156,256,95,75,85,66,346,306
12,191,191,160,229,164,249,100,88,84,143,303,218
13,321,253,193,286,176,200,79,80,72,130,303,177
14,348,239,231,280,270,222,87,84,71,154,294,163
15,258,221,253,201,242,153,79,62,57,186,227,189
16,264,272,218,253,297,132,81,63,47,232,264,223
17,327,241,218,251,239,88,61,60,70,237,260,304
18,352,252,293,257,251,79,92,72,119,241,289,353
19,322,180,231,317,202,99,105,71,182,234,280,410
20,387,173,242,277,266,124,98,80,130,232,314,366
21,365,165,271,296,285,128,70,117,109,262,310,328
22,316,252,180,204,203,139,140,104,66,265,255,342
23,202,211,206,245,136,140,72,83,57,259,237,359
24,241,307,280,261,89,197,72,63,54,312,213,349
25,234,286,211,244,166,230,67,96,52,302,294,308
26,260,102,207,209,199,169,69,113,100,271,336,331
27,262,92,195,287,206,127,74,105,108,354,328,339
28,215,107,251,295,210,137,68,119,140,357,333,321
29,251,,274,299,273,163,71,144,151,397,369,306
30,278,,276,270,201,116,58,116,173,352,365,399
31,338,,298,,215,,71,124,,392,,349
