Day,January,February,March,April,May,June,July,August,September,October,November,December
1,"PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","NO2,OZONE,PM10","OZONE,PM10,PM2.5","PM10,PM2.5","CO,OZONE,PM10","CO,NO2,OZONE","CO,OZONE,PM10","OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5"
2,"PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","NO2,OZONE,PM10","PM10,PM2.5","OZONE,PM10,PM2.5","CO,OZONE,PM10","CO,NO2,OZONE","CO,PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5"
3,"PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","CO,NO2,OZONE","CO,NO2,OZONE","CO,OZONE,PM10","CO,OZONE,PM10","PM10,PM2.5","PM10,PM2.5"
4,"PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","CO,PM10,PM2.5","CO,NO2,OZONE","CO,OZONE,PM10","CO,OZONE,PM10","PM10,PM2.5","PM10,PM2.5"
5,"PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","CO,OZONE,PM10","PM10,PM2.5","PM10,PM2.5","CO,PM10,PM2.5","OZONE,PM10","PM10,PM2.5","PM10,PM2.5","PM10,PM2.5"
6,"PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","CO,PM10,PM2.5","CO,NO2,OZONE","CO,NO2,OZONE","CO,NO2,PM10","PM10,PM2.5","PM10,PM2.5"
7,"PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","CO,PM10,PM2.5","CO,PM10,PM2.5","CO,NO2,OZONE","CO,NO2,OZONE","PM10,PM2.5","PM10,PM2.5"
8,"CO,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","CO,OZONE,PM10","CO,OZONE,PM10","CO,OZONE,PM10","CO,NO2,OZONE","PM10,PM2.5","PM10,PM2.5"
9,"CO,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","CO,OZONE,PM10","PM10,PM2.5","CO,PM10,PM2.5","CO,PM10,PM2.5","CO,OZONE,PM10","CO,NO2,OZONE","PM10,PM2.5","PM10,PM2.5"
10,"PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","CO,NO2,OZONE","CO,NO2,OZONE","CO,PM10,PM2.5","CO,NO2,OZONE","PM10,PM2.5","PM10,PM2.5"
11,"PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","CO,OZONE,PM10","CO,NO2,PM10","CO,OZONE,PM10","CO,NO2,OZONE","PM10,PM2.5","PM10,PM2.5"
12,"PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","CO,NO2,OZONE","CO,NO2,PM10","CO,OZONE,PM10","CO,OZONE,PM10","PM10,PM2.5","PM10,PM2.5"
13,"PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5",PM10,"CO,OZONE,PM10","CO,NO2,OZONE","CO,PM10,PM2.5","PM10,PM2.5","CO,PM10,PM2.5"
14,"PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","CO,OZONE,PM10","CO,OZONE,PM10","CO,NO2,OZONE","CO,NO2,OZONE","PM10,PM2.5","PM10,PM2.5"
15,"PM10,PM2.5","NO2,OZONE,PM10","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","CO,OZONE,PM10","CO,NO2,OZONE","CO,NO2,OZONE","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5"
16,"PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","CO,OZONE,PM10","CO,NO2,OZONE","CO,NO2,OZONE","PM10,PM2.5","PM10,PM2.5","PM10,PM2.5"
17,"PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","CO,NO2,OZONE","CO,NO2,OZONE","CO,NO2,OZONE","CO,OZONE,PM10","PM10,PM2.5","PM10,PM2.5","PM10,PM2.5"
18,"PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","CO,NO2,OZONE","CO,OZONE,PM10","CO,OZONE,PM10","NO2,OZONE,PM10","OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5"
19,"PM10,PM2.5","NO2,OZONE,PM10","OZONE,PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","CO,OZONE,PM10","CO,PM10,PM2.5","CO,OZONE,PM10","PM10,PM2.5","CO,OZONE,PM10","PM10,PM2.5","PM10,PM2.5"
20,"PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","NO2,OZONE,PM10","CO,PM10,PM2.5","CO,PM10","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5"
21,"PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","CO,NO2,OZONE","CO,NO2,OZONE","PM10,PM2.5","CO,NO2,PM10","PM10,PM2.5","PM10,PM2.5","PM10,PM2.5"
22,"PM10,PM2.5","PM10,PM2.5","PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","CO,OZONE,PM10","CO,NO2,PM10","CO,PM10,PM2.5","CO,NO2,OZONE","PM10,PM2.5","OZONE,PM10,PM2.5","PM10,PM2.5"
