Day,January,February,March
1,"PM10,PM2.5","PM10,PM2.5","CO,NO2,OZONE"
2,"PM10,PM2.5","PM10,PM2.5","NO2,OZONE,PM10"
3,"PM10,PM2.5","PM10,PM2.5","NO2,OZONE,PM10"
4,"OZONE,PM10,PM2.5","PM10,PM2.5","NO2,OZONE,PM10"
5,"PM10,PM2.5","PM10,PM2.5","CO,NO2,OZONE"
6,"PM10,PM2.5","PM10,PM2.5","CO,NO2,OZONE"
7,"PM10,PM2.5","NO2,OZONE,PM10","OZONE,PM10,PM2.5"
8,"PM10,PM2.5","OZONE,PM10,PM2.5","NO2,OZONE,PM10"
9,"OZONE,PM10,PM2.5","NO2,OZONE,PM10","OZONE,PM10,PM2.5"
10,"PM10,PM2.5","NO2,PM10,PM2.5","OZONE,PM10,PM2.5"
11,"PM10,PM2.5","NO2,OZONE,PM10","OZONE,PM10,PM2.5"
12,"PM10,PM2.5","NO2,PM10,PM2.5","PM10,PM2.5"
13,"PM10,PM2.5","NO2,OZONE,PM10","CO,OZONE,PM10"
14,"OZONE,PM10,PM2.5","CO,NO2,OZONE","OZONE,PM10,PM2.5"
15,"PM10,PM2.5","OZONE,PM10,PM2.5","CO,NO2,OZONE"
16,"PM10,PM2.5","PM10,PM2.5","NO2,OZONE,PM10"
17,"PM10,PM2.5","OZONE,PM10,PM2.5","NO2,OZONE,PM10"
18,"OZONE,PM10,PM2.5","PM10,PM2.5","CO,OZONE,PM10"
19,"PM10,PM2.5","NO2,OZONE,PM10","CO,NO2,OZONE"
20,"PM10,PM2.5","NO2,OZONE,PM10","NO2,OZONE,PM10"
21,"PM10,PM2.5","CO,NO2,OZONE","NO2,OZONE,PM10"
22,"PM10,PM2.5","CO,NO2,OZONE","NO2,OZONE,PM10"
23,"PM10,PM2.5","NO2,OZONE,PM10","NO2,OZONE,PM10"
24,"OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5"
25,"NO2,OZONE,PM10","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5"
26,"OZONE,PM10,PM2.5","OZONE,PM10,PM2.5","OZONE,PM10,PM2.5"
27,"OZONE,PM10,PM2.5","PM10,PM2.5","PM10,PM2.5"
28,"OZONE,PM10,PM2.5","CO,NO2,PM10","NO2,OZONE,PM10"
29,"PM10,PM2.5",,"CO,NO2,OZONE"
30,"PM10,PM2.5",,"CO,NO2,OZONE"
31,"PM10,PM2.5",,"CO,NO2,OZONE"
