Day,January,February,March,April,May,June,July,August,September,October,November,December
1,393,306,225,151,295,264,183,89,108,93,484,250
2,430,332,217,198,257,201,218,84,96,90,399,279
3,444,289,117,187,183,261,136,89,141,136,494,282
4,386,288,234,254,182,169,103,87,173,100,407,296
5,407,382,140,264,227,192,106,105,95,98,324,382
6,336,352,186,266,249,206,88,76,90,127,214,404
7,333,176,217,302,294,173,91,75,82,130,309,371
8,320,144,197,264,357,181,127,79,77,112,330,391
9,288,158,187,204,347,239,126,75,108,173,283,343
10,292,276,160,238,277,207,148,59,137,211,321,369
11,371,309,187,183,251,307,317,68,168,216,360,408
12,423,342,134,212,334,233,272,57,151,222,425,430
13,414,367,178,170,322,175,275,69,86,270,456,240
14,247,340,266,137,153,171,235,63,72,252,463,163
15,237,245,154,168,186,224,168,75,72,270,458,213
16,371,276,139,180,187,178,93,53,105,304,357,186
17,440,222,192,84,265,123,73,49,135,284,215,168
18,397,255,196,114,105,97,85,49,110,248,214,292
19,378,221,216,157,185,199,145,81,66,161,242,362
20,404,271,208,198,206,141,124,97,90,238,301,432
21,346,144,242,203,190,177,108,109,114,249,366,418
22,104,186,114,236,158,189,112,123,67,207,360,322
23,212,113,132,247,223,148,148,129,83,242,312,327
24,311,190,121,221,123,109,164,147,94,311,234,383
25,151,217,139,251,121,133,78,91,90,284,252,350
26,233,116,159,215,142,162,81,66,74,287,270,349
27,262,100,171,256,160,184,61,117,63,337,134,373
28,267,170,234,264,177,191,64,105,67,368,106,409
29,276,,232,248,185,231,65,91,60,400,84,431
30,327,,233,250,218,237,80,101,68,419,193,446
31,359,,182,,280,,80,114,,410,,387
