Day,January,February,March
1,328,355,126
2,318,326,125
3,371,286,156
4,378,264,148
5,339,284,119
6,335,210,124
7,296,156,202
8,297,152,158
9,357,227,209
10,397,271,197
11,327,293,262
12,278,212,228
13,248,134,179
14,275,131,198
15,386,191,85
16,302,294,99
17,289,231,108
18,255,209,145
19,368,180,160
20,314,160,156
21,289,158,144
22,260,155,161
23,257,144,194
24,199,186,206
25,174,208,234
26,216,247,231
27,268,215,259
28,276,121,205
29,365,,153
30,363,,138
31,351,,160
